Implementation Priority,tool,pillar,type,agent,task,priority,source,url
,FAIR-Calc,vendor_mgmt,Open Source,vendor_risk_analyst,risk_quantification,High,comprehensive_csv,https://github.com/OpenFAIR/FAIR-Calc
,NIST CSF,vendor_mgmt,Framework,vendor_risk_analyst,security_framework,High,comprehensive_csv,https://www.nist.gov/cyberframework
,ISO 27001,vendor_mgmt,Framework,vendor_risk_analyst,security_framework,High,comprehensive_csv,https://www.iso.org/standard/27001
,SOC 2,vendor_mgmt,Framework,vendor_risk_analyst,security_compliance,High,comprehensive_csv,https://www.aicpa.org/interestareas/frc/assuranceadvisoryservices/aicpasoc2report
,PCI DSS,vendor_mgmt,Framework,vendor_risk_analyst,security_compliance,High,comprehensive_csv,https://www.pcisecuritystandards.org
,GDPR,vendor_mgmt,Framework,vendor_risk_analyst,privacy_compliance,High,comprehensive_csv,https://gdpr.eu
,HIPAA,vendor_mgmt,Framework,vendor_risk_analyst,healthcare_compliance,High,comprehensive_csv,https://www.hhs.gov/hipaa
,FedRAMP,vendor_mgmt,Framework,vendor_risk_analyst,government_compliance,High,comprehensive_csv,https://www.fedramp.gov
,CIS Controls,vendor_mgmt,Framework,vendor_risk_analyst,security_controls,High,comprehensive_csv,https://www.cisecurity.org/controls
,OWASP Top 10,vendor_mgmt,Framework,vendor_risk_analyst,application_security,High,comprehensive_csv,https://owasp.org/www-project-top-ten
,NIST SP 800-53,vendor_mgmt,Framework,vendor_risk_analyst,security_controls,High,comprehensive_csv,https://csrc.nist.gov/publications/detail/sp/800-53/rev-5/final
,NIST SP 800-171,vendor_mgmt,Framework,vendor_risk_analyst,cybersecurity_framework,High,comprehensive_csv,https://csrc.nist.gov/publications/detail/sp/800-171/rev-2/final
,CMMC,vendor_mgmt,Framework,vendor_risk_analyst,cybersecurity_maturity,High,comprehensive_csv,https://www.cmmc-cco.org
