Region,Compliance Framework,Category,Dashboard Name,Dashboard Purpose,Key Metrics/KPIs,Primary Data Sources,Secondary Data Sources,Refresh Frequency,Compliance Requirement Reference
APAC,Singapore CSA,Incident Response,Cyber Incident Reporting Dashboard,Track reportable cybersecurity incidents,"Incidents reported to CSA, Reporting timeline compliance, Incident severity classification, Resolution status","Incident management platform, CSA reporting integration","SIEM, Forensics tools, Communication logs",Real-time,Cybersecurity Act Section 14 - Incident Reporting
APAC,Australia Essential Eight,AppSec,Essential Eight Maturity Dashboard,Track maturity level across all eight mitigation strategies,"Maturity level per strategy, Overall maturity score, Implementation gaps, Remediation timeline","Essential Eight assessment tools, Security configuration management","Vulnerability scanners, Patch management, Application control tools",Quarterly,ACSC Essential Eight Maturity Model
APAC,Australia Essential Eight,Cloud,Application & Patch Management Dashboard,Monitor application control and patching effectiveness,"Approved applications list, Unapproved applications detected, Patch compliance rate, Patching timeliness","Application whitelisting tools, Patch management systems, Endpoint management","Software inventory, Vulnerability data, Change management",Weekly,Essential Eight - Application Control & Patching
APAC,Australia IRAP,Cloud,Cloud Security Assessment Dashboard,Track IRAP assessment findings and remediation,"Assessment findings by severity, Remediation status, Control implementation, Re-assessment timeline","IRAP assessment tools, Cloud security posture management","Cloud provider compliance reports, Security testing tools, Evidence repository",Per assessment,IRAP Assessment Requirements
APAC,New Zealand NZISM,Cloud,NZISM Baseline Compliance Dashboard,Monitor compliance with NZISM baseline controls,"Control implementation status, Risk treatment plans, Security exceptions, Audit findings","NZISM compliance tools, GRC platform","Cloud security tools, Risk register, Exception tracking",Quarterly,NZISM Baseline Security Templates
EMEA,EU GDPR,Cloud,Data Protection & Privacy Dashboard,Monitor GDPR compliance across data processing activities,"Data processing records (ROPA), DPIAs completed, Data subject requests, Breach notifications","GDPR compliance platform, Data mapping tools, Privacy management software","DLP, Consent management, Vendor assessments",Monthly,GDPR Articles 30, 35, 15-22, 33-34
EMEA,EU GDPR,AppSec,Data Security & Breach Management Dashboard,Track technical security measures and breach response,"Encryption coverage, Pseudonymization implementation, Breach detection time, 72-hour notification compliance","Security controls platform, Breach management system","Encryption tools, Incident response, Legal tracking",Real-time,GDPR Article 32 - Security of Processing
EMEA,EU NIS2 Directive,Cloud,Cybersecurity Risk Management Dashboard,Monitor NIS2 cybersecurity requirements,"Risk assessments completed, Security measures implemented, Supply chain risk management, Business continuity testing","NIS2 compliance platform, Risk management tools","Vendor risk management, Business continuity tools, Security testing",Quarterly,NIS2 Article 21 - Cybersecurity Risk Management
EMEA,EU NIS2 Directive,Incident Response,Incident Reporting & Response Dashboard,Track NIS2 incident reporting obligations,"Incidents reported (24hr early warning, 72hr notification), Significant incidents count, Response effectiveness, Lessons learned","Incident management platform, NIS2 reporting portal integration","SIEM, Threat intelligence, Communication tools",Real-time,NIS2 Article 23 - Reporting Obligations
EMEA,EU DORA,Cloud,Digital Operational Resilience Dashboard,Monitor operational resilience for financial entities,"ICT risk management framework status, Resilience testing results, Third-party ICT risk, Major incident impact","DORA compliance platform, Resilience testing tools","Business impact analysis, Vendor management, Incident tracking",Quarterly,DORA ICT Risk Management Requirements
EMEA,EU DORA,Incident Response,ICT Incident Management Dashboard,Track ICT-related incidents and reporting,"Major ICT incidents, Reporting to authorities, Root cause analysis, Recovery time","Incident management system, Regulatory reporting tools","Service monitoring, Change management, Communication logs",Real-time,DORA Article 17 - Incident Reporting
EMEA,UK NCSC CAF,Cloud,Cyber Assessment Framework Dashboard,Monitor CAF objectives and principles implementation,"Objectives achieved by principle, Assessment findings, Improvement actions, Maturity progression","CAF assessment tools, GRC platform","Risk management, Security controls, Governance documentation",Annually,NCSC CAF v3.2 Principles A-D
EMEA,UK NCSC CAF,AppSec,Security Architecture & Configuration Dashboard,Track security architecture and configuration management,"Architecture reviews completed, Secure configuration baselines, Configuration drift detected, Vulnerability exposure","Configuration management tools, Security architecture review tools","Cloud security posture management, Vulnerability scanners, Change control",Weekly,NCSC CAF Principle B - Defending Systems
EMEA,UK Cyber Essentials,AppSec,Cyber Essentials Controls Dashboard,Monitor five key technical controls,"Firewall configuration, Secure configuration, Access control, Malware protection, Patch management","Cyber Essentials assessment tools, Endpoint security platforms","Firewall management, Patch systems, Access governance",Annually,Cyber Essentials Requirements
EMEA,Ireland NCSC,Incident Response,National Cyber Incident Reporting Dashboard,Track cyber incidents and national reporting,"Incidents reported to NCSC, Critical infrastructure incidents, Response coordination, Threat intelligence sharing","National incident reporting portal, Incident management system","SIEM, Threat intelligence platform, Communication tools",Real-time,NCSC Incident Reporting Guidelines
Global,OWASP Top 10,AppSec,Application Security Risk Dashboard,Monitor OWASP Top 10 vulnerabilities in applications,"Vulnerabilities by OWASP category, Critical web app vulnerabilities, Remediation rate, Secure coding compliance","DAST tools (OWASP ZAP, Burp Suite), SAST tools, Web application firewalls","Code review tools, Developer training records, Penetration test results",Weekly,OWASP Top 10 2021
Global,CIS Controls v8,AppSec,CIS Controls Implementation Dashboard,Track implementation of 18 CIS Controls,"Controls implemented by safeguard, Implementation groups coverage, Assessment score, Prioritization status","CIS assessment tools, Security controls platform","Asset management, Configuration management, Vulnerability management",Quarterly,CIS Controls v8 Implementation Groups
Global,Cloud Security Alliance STAR,Cloud,CSA STAR Registry Dashboard,Monitor cloud security controls for STAR certification,"CCM controls implemented, STAR level achieved, Assessment findings, Continuous monitoring status","CSA STAR tools, Cloud security assessment platforms","Cloud provider compliance reports, Third-party audits, Control evidence",Annually,CSA Cloud Controls Matrix (CCM)
Global,ITU Global Cybersecurity Index,Cloud,National Cybersecurity Posture Dashboard,Track national cybersecurity capabilities across five pillars,"Legal measures score, Technical measures score, Organizational measures, Capacity development, Cooperation","National cybersecurity strategy documents, Legal framework database","Cybersecurity workforce data, International cooperation records, Technical capability assessments",Annually,ITU GCI Pillars
Global,WEF Cybersecurity Principles,Cloud,Cybersecurity Governance Dashboard,Monitor alignment with WEF cybersecurity principles,"Board oversight activities, Risk management integration, Stakeholder engagement, Resilience metrics","Governance documentation, Board meeting records","Risk register, Stakeholder communication, Resilience testing results",Quarterly,WEF Principles for Board Governance of Cyber Risk
