Implementation Priority,tool,pillar,type,agent,task,priority,source,url
,Wazuh,due_diligence,Open Source,vendor_risk_analyst,security_monitoring,Medium,comprehensive_csv,https://github.com/wazuh/wazuh
,GRR Rapid Response,due_diligence,Open Source,vendor_risk_analyst,forensic_assessment,Medium,comprehensive_csv,https://github.com/google/grr
,Metasploit / Nmap,due_diligence,Open Source,vendor_risk_analyst,penetration_testing,Medium,comprehensive_csv,https://github.com/rapid7/metasploit-framework
,GRC Toolkits (Eramba OSS),due_diligence,Open Source,vendor_risk_analyst,grc_management,Medium,comprehensive_csv,https://github.com/eramba/eramba
,OpenVAS / Greenbone,due_diligence,Open Source,vendor_risk_analyst,vulnerability_assessment,Medium,comprehensive_csv,https://github.com/greenbone/openvas
,Elastic Stack (ELK),due_diligence,Open Source,vendor_risk_analyst,log_analysis,Medium,comprehensive_csv,https://github.com/elastic/elasticsearch
,MISP,due_diligence,Open Source,vendor_risk_analyst,threat_intelligence,Medium,comprehensive_csv,https://github.com/MISP/MISP
,OpenSCAP,due_diligence,Open Source,vendor_risk_analyst,compliance_scanning,Medium,comprehensive_csv,https://github.com/OpenSCAP
,PrivacyIDEA,due_diligence,Open Source,vendor_risk_analyst,security_assessment,Medium,comprehensive_csv,https://github.com/privacyidea/privacyidea
,BitSight,due_diligence,Commercial,vendor_risk_analyst,security_rating,High,comprehensive_csv,https://docs.bitsight.com
,SecurityScorecard,due_diligence,Commercial,vendor_risk_analyst,security_rating,High,comprehensive_csv,https://docs.securityscorecard.com
,Archer GRC,due_diligence,Commercial,vendor_risk_analyst,grc_management,High,comprehensive_csv,https://docs.rsa.com
,OneTrust Vendor Risk Management,due_diligence,Commercial,vendor_risk_analyst,vendor_risk_management,High,comprehensive_csv,https://docs.onetrust.com
,ServiceNow VRM,due_diligence,Commercial,vendor_risk_analyst,vendor_risk_management,High,comprehensive_csv,https://docs.servicenow.com
,Prevalent VRM,due_diligence,Commercial,vendor_risk_analyst,vendor_risk_management,High,comprehensive_csv,https://docs.prevalent.net
,UpGuard Vendor Risk,due_diligence,Commercial,vendor_risk_analyst,vendor_risk_management,High,comprehensive_csv,https://docs.upguard.com
,Panorays,due_diligence,Commercial,vendor_risk_analyst,vendor_risk_management,High,comprehensive_csv,https://docs.panorays.com
,RiskRecon (Mastercard),due_diligence,Commercial,vendor_risk_analyst,security_rating,High,comprehensive_csv,https://docs.riskrecon.com
,CyberGRX,due_diligence,Commercial,vendor_risk_analyst,vendor_risk_management,High,comprehensive_csv,https://docs.cybergrx.com
