Implementation Priority,tool,pillar,type,agent,task,priority,source,url
,CleverHans,ai_security,Open Source,ai_security_engineer,adversarial_testing,High,github_awesome_ai_security,https://github.com/cleverhans-lab/cleverhans
,Foolbox,ai_security,Open Source,ai_security_engineer,adversarial_testing,High,github_awesome_ai_security,https://github.com/bethgelab/foolbox
,TextAttack,ai_security,Open Source,ai_security_engineer,nlp_adversarial_testing,High,github_awesome_ai_security,https://github.com/QData/TextAttack
,Adversarial Robustness Toolbox,ai_security,Open Source,ai_security_engineer,adversarial_testing,High,github_awesome_ai_security,https://github.com/Trusted-AI/adversarial-robustness-toolbox
,Robustness Gym,ai_security,Open Source,ai_security_engineer,model_robustness,High,github_awesome_ai_security,https://github.com/robustness-gym/robustness-gym
,Adversarial Examples Library,ai_security,Open Source,ai_security_engineer,adversarial_testing,High,github_awesome_ai_security,https://github.com/cleverhans-lab/adversarial_examples
,Adversarial ML Zoo,ai_security,Open Source,ai_security_engineer,adversarial_testing,High,github_awesome_ai_security,https://github.com/cleverhans-lab/adversarial_ml_zoo
,Adversarial Patch,ai_security,Open Source,ai_security_engineer,adversarial_testing,High,github_awesome_ai_security,https://github.com/cleverhans-lab/adversarial_patch
,Protect AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://protectai.com/api-docs
,HiddenLayer,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.hiddenlayer.com/api
,Robust Intelligence,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.robustintelligence.com/api
,Lakera AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.lakera.ai/api
,Hugging Face Enterprise Guardrails,ai_security,Commercial,ai_security_engineer,llm_security,High,comprehensive_csv,https://huggingface.co/docs/enterprise
,Cradle AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.cradle.ai/api
,Arthur AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.arthur.ai/api
,Fiddler AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.fiddler.ai/api
,Calypso AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.calypso.ai/api
,Securiti.ai (AI Data Security Cloud),ai_security,Commercial,ai_security_engineer,ai_data_security,High,comprehensive_csv,https://docs.securiti.ai/api
,Symphony AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.symphony.ai/api
,Immuta,ai_security,Commercial,ai_security_engineer,ai_data_security,High,comprehensive_csv,https://docs.immuta.com/api
,Vectra AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.vectra.ai/api
,BastionZero AI,ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.bastionzero.com/api
,Cortex AI Security (Palo Alto Networks),ai_security,Commercial,ai_security_engineer,ai_security_platform,High,comprehensive_csv,https://docs.paloaltonetworks.com/cortex/api
,NVIDIA NeMo Guardrails,ai_security,Commercial,ai_security_engineer,ai_safety,High,comprehensive_csv,https://github.com/NVIDIA/NeMo-Guardrails
,EOF
